"Month","Monthly demand repair parts large/heavy equip. Iowa 1972 ? 1979"
"1972-01",954
"1972-02",765
"1972-03",867
"1972-04",940
"1972-05",913
"1972-06",1014
"1972-07",801
"1972-08",990
"1972-09",712
"1972-10",959
"1972-11",828
"1972-12",965
"1973-01",915
"1973-02",891
"1973-03",991
"1973-04",971
"1973-05",1129
"1973-06",1091
"1973-07",1195
"1973-08",1295
"1973-09",1046
"1973-10",1121
"1973-11",1033
"1973-12",1222
"1974-01",1199
"1974-02",1012
"1974-03",1404
"1974-04",1137
"1974-05",1421
"1974-06",1162
"1974-07",1639
"1974-08",1545
"1974-09",1420
"1974-10",1916
"1974-11",1491
"1974-12",1295
"1975-01",1764
"1975-02",1727
"1975-03",1654
"1975-04",1811
"1975-05",1520
"1975-06",1635
"1975-07",1984
"1975-08",1898
"1975-09",1853
"1975-10",2015
"1975-11",1709
"1975-12",1667
"1976-01",1625
"1976-02",1562
"1976-03",2121
"1976-04",1783
"1976-05",1474
"1976-06",1657
"1976-07",1746
"1976-08",1763
"1976-09",1517
"1976-10",1457
"1976-11",1388
"1976-12",1501
"1977-01",1227
"1977-02",1342
"1977-03",1666
"1977-04",2091
"1977-05",1629
"1977-06",1451
"1977-07",1727
"1977-08",1736
"1977-09",1952
"1977-10",1420
"1977-11",1345
"1977-12",842
"1978-01",1576
"1978-02",1485
"1978-03",1928
"1978-04",2072
"1978-05",1887
"1978-06",2175
"1978-07",2199
"1978-08",1961
"1978-09",2091
"1978-10",1993
"1978-11",1595
"1978-12",1372
"1979-01",1607
"1979-02",1871
"1979-03",2594
"1979-04",1743
"1979-05",2267
"1979-06",2602
"1979-07",2565
"1979-08",2567
"1979-09",2344
"1979-10",2805

Monthly demand repair parts large/heavy equip. Iowa 1972 ? 1979

